Id,Prediction
0,3201478.72425816
1,3272374.18074969
2,3169156.55627218
3,3780952.68225692
4,4073483.82797525
5,2851854.11618624
6,4394580.15307829
7,3399187.25796768
8,3611867.84206005
9,3903666.61223751
10,3232298.28084232
11,3645632.46515929
12,4118070.71497099
13,4067209.98904782
14,3121517.34081989
15,4517373.9642935
16,3964311.47693167
17,3568238.31389283
18,3115595.82819199
19,3821902.74846613
20,3913779.20496247
21,4172421.94462047
22,3462465.42730909
23,3621050.61611918
24,4087731.51157933
25,3682118.04690635
26,4126856.55366748
27,3568806.84364035
28,3100835.95946349
29,3068221.38080547
30,4048993.34988914
31,3508515.67583434
32,3920809.74464972
33,4333200.09389336
34,4095997.60449624
35,3404531.71053303
36,3873072.28890513
37,4236600.64964439
38,4258279.61919818
39,3819699.10788665
40,3788510.62719941
41,2659071.88106886
42,4057999.7232862
43,3506990.04508152
44,4330725.70623538
45,2540336.95202675
46,3786135.24777865
47,3545867.39564661
48,3298864.50312927
49,4087046.0490527
50,3647949.54371231
51,3570520.69589333
52,4008069.195782
53,3906682.04042114
54,3516566.07367896
55,3400641.37000908
56,3071662.88004034
57,4433927.74563878
58,4230123.14576213
59,2910727.22734812
60,3637899.34466511
61,3100764.06542474
62,3942177.59410396
63,3520174.71602126
64,3516018.09225855
65,3831842.1313731
66,3690368.10780455
67,3988990.67926128
68,4287515.50889913
69,3645911.59145756
70,4141040.15333366
71,3356368.25953583
72,3567892.83564358
73,3784305.91327189
74,3356567.61497463
75,3667365.90751369
76,3705845.77191232
77,2754083.59012124
78,4088762.9259358
79,3928043.80987692
80,3567275.75926824
81,3375717.02667944
82,4003352.60210771
83,3481374.31621832
84,2934889.4743619
85,4053668.42261095
86,3896264.00414686
87,3412538.94198148
88,3782420.11853198
89,3769651.96443795
90,3330066.03065572
91,4250985.63630115
92,3803005.00216402
93,4153141.9721684
94,3520467.27056642
95,3585435.17851582
96,2646777.45165136
97,4041015.55882083
98,4107771.57235772
99,3860974.47477443
100,4402950.76268172
101,4074236.11511464
102,3413383.02437461
103,2702253.17534166
104,4330249.37242147
105,3881379.77114112
106,4094089.52740764
107,3345660.47201219
108,4226604.75921604
109,2891115.72194321
110,3471803.52963403
111,3182887.25475104
112,4198514.07382957
113,2971796.05629053
114,4473551.37403057
115,4083235.10514285
116,3865284.72722049
117,3762310.28650247
118,3345024.36069702
119,3669224.80497181
120,4165944.64833274
121,3790096.79961449
122,3945546.44211259
123,3795245.82238333
124,3719197.96943469
125,4602917.13086581
126,3809733.66410907
127,2748881.27370106
128,3734042.28275757
129,4481066.3118824
130,3601548.43021699
131,3629805.33272488
132,3123855.02768027
133,3701772.26400423
134,4159704.23479791
135,3749496.80855956
136,4526247.36993854
137,3931045.0595374
138,3047756.28057773
139,3584312.18648534
140,3125199.82151487
141,3826469.53873022
142,4496205.67326353
143,4143648.74284485
144,3788783.79605239
145,4392573.61085006
146,3043005.98490068
147,3446571.75054487
148,3927244.09151485
149,3849734.93248086
150,3706769.84570914
151,3031666.61826374
152,3251780.26029169
153,3495066.5539366
154,3606821.77639576
155,4207680.22258515
156,3865951.46328313
157,2773545.23477503
158,3135160.27898721
159,3377997.135003
160,3663185.97645287
161,3992255.07252183
162,4163024.40933646
163,3850113.53342776
164,3636482.31295358
165,3920416.35122013
166,3161562.59094796
167,3689028.4326924
168,3334976.36611174
169,4155650.39163818
170,3840548.45484665
171,3888554.342448
172,4038075.35115475
173,3436290.06346554
174,3682924.06118115
175,3297887.96945849
176,3505522.14173085
177,4331723.70379913
178,3782388.96647081
179,3353835.50952012
180,3698748.83152196
181,4467258.66085279
182,3490249.60135769
183,4317100.27432843
184,3553013.0496174
185,3731497.86048486
186,3710558.45655123
187,3985361.09152668
188,3133905.02184535
189,3404974.16490469
190,3644091.44450391
191,4108491.19944573
192,4372114.59250835
193,4035603.99830279
194,3478358.08723346
195,3998105.16303133
196,3492204.55334712
197,4320797.881708
198,3890106.66664843
199,3937443.44910615
200,3573760.68623653
201,3945568.02756402
202,3427745.91968899
203,3005034.2607424
204,2928787.39585072
205,4578470.33821243
206,3620982.78613707
207,3362546.06931605
208,4039572.5926236
209,4253778.5821547
210,3771972.28417515
211,3305793.92774132
212,3493346.15970276
213,3970159.44962439
214,3178530.84144926
215,4055362.77965319
216,3771822.61116126
217,3033459.31405897
218,3258860.13133931
219,3153230.88799326
220,3939956.72133675
221,3708740.95899724
222,3624109.50307845
223,4355422.7911024
224,4042536.58826202
225,3824049.51686597
226,3607414.60684273
227,2780830.48128638
228,3351441.45873467
229,4217493.46152548
230,3000995.81205033
231,4556511.18526942
232,4327417.18169897
233,3975679.12338533
234,4151557.39657476
235,3110107.55203853
236,4150272.40682941
237,4509934.02617396
238,3364323.29924599
239,4545817.49515768
240,4280772.41456214
241,2922484.90806032
242,3172088.65428114
243,4280344.10510066
244,4073855.66126571
245,4005336.03883136
246,4300061.40901174
247,3431579.59287542
248,3523258.57600722
249,4054090.70384993
250,3905387.82625534
251,3294502.83511741
252,4386112.6874448
253,3465377.1449596
254,3881540.6900666
255,2812784.41207065
256,3550737.49692113
257,3694618.63559423
258,2875454.62848388
259,3869653.18754705
260,4036919.61420466
261,4055969.90355774
262,3455668.2595317
263,3667255.00543272
264,3238555.65205423
265,3234434.06806965
266,3991046.03694194
267,3734451.01330433
268,3681493.08669786
269,3677752.77729412
270,3841711.02440087
271,4535560.36218876
272,3908107.0887827
273,3843578.01737238
274,3322756.21826151
275,3864900.91751884
276,2949809.359249
277,3190136.51183403
278,3284806.02185182
279,3671840.62875879
280,3806190.48783583
281,4027938.63515153
282,3153772.48974193
283,3578687.1404003
284,4021259.03026683
285,3374093.44064708
286,3991102.68027368
287,3819660.19999138
288,4061423.9048053
289,3806949.27924019
290,4044049.3681313
291,3211886.88271768
292,2929057.59422588
293,3769517.38815158
294,3719083.17406038
295,4323743.46504906
296,4048197.49937811
297,4027215.45233843
298,4344558.84503486
299,3554300.63003493
300,2889982.53746148
301,4183487.49870432
302,3544745.9626945
303,3899360.32091602
304,4450007.98354818
305,4105529.75572377
306,3907542.02416392
307,3691279.52484636
308,2845391.9121
309,3483735.11804127
310,4053911.97288426
311,3182562.9763833
312,3240765.96479657
313,3330232.37265711
314,3860793.60170044
315,4072150.33222603
316,3288967.52459203
317,3138602.36068112
318,3740018.67304435
319,3721607.35852003
320,3221245.47480669
321,3796632.08313226
322,3851253.84268847
323,4221291.43816384
324,3637031.17441666
325,3913125.71334986
326,3804703.14171033
327,3121229.56689927
328,3489298.58536704
329,4153324.16157168
330,2988241.53580762
331,3260175.70166329
332,4233813.58053064
333,3563446.78855899
334,3512755.18244057
335,4000304.78264813
336,3363684.97350075
337,3116525.28947608
338,3682154.00018714
339,3522823.93226997
340,4145611.75861349
341,3449258.44318292
342,3934191.75898476
343,4313112.79878262
344,2285065.08641559
345,3151708.67536019
346,3729702.6148929
347,4025823.12120037
348,4163379.27310466
349,3624337.26837082
350,3595456.11735848
351,4346580.4648866
352,3543576.72215808
353,3949351.02172022
354,3170560.07488644
355,3525269.61144719
356,3833309.21123231
357,3221818.95942623
358,3428838.65052974
359,3985099.29657727
360,4146398.81234357
361,3576243.89120609
362,3717192.98640822
363,3801912.67135224
364,3936550.8497152
365,3535842.61837997
366,3334635.10337603
367,4153766.89799554
368,4145498.53605004
369,3347370.19695433
370,3634187.06112651
371,3460387.01191958
372,4474297.11939568
373,3113276.07656142
374,3765812.82014174
375,4116317.23298262
376,4617465.21306923
377,3700934.24709638
378,2708875.81615414
379,3697477.58122354
380,3576807.4026271
381,3230233.56988034
382,4282555.71658069
383,3832477.96916912
384,3769956.23462324
385,3682068.16018134
386,4484076.64094495
387,3395266.93631314
388,4337514.72222785
389,2704525.20415746
390,3515806.82931143
391,3715142.18304464
392,4445144.83957132
393,3308529.53275067
394,3663970.63915144
395,4082112.5586823
396,4234594.2306658
397,4050321.29837002
398,3807192.17279802
399,3686609.29768717
400,3718473.09285178
401,4265392.57235606
402,3162405.00575099
403,4054032.04986597
404,3471783.47206522
405,2989538.40004338
406,4220421.6845041
407,2711922.6524313
408,4196179.8334835
409,3420939.35587704
410,3907382.80564117
411,3509524.73644603
412,3768550.43579365
413,4185832.74760251
414,3106986.70515108
415,3533665.69068826
416,3216682.91429896
417,4318049.75700059
418,3896228.35767307
419,3828662.05184102
420,4188191.45645222
421,3358367.81075661
422,4181786.46543592
423,3868579.36176343
424,4116430.7464364
425,3652706.57084347
426,3592125.85401275
427,3745512.16974662
428,3388452.89623085
429,3164512.98057422
430,3164980.19028778
431,3505057.0669574
432,3744699.88306906
433,2714433.02890373
434,3196759.61120029
435,2929995.62142022
436,3597431.8143459
437,4928482.18692854
438,4047417.36574586
439,4067344.06876599
440,3829090.75461
441,4077578.63960818
442,4012495.38720608
443,3246043.12078028
444,3294789.56682567
445,3564787.12091179
446,2907584.00976249
447,3800207.53301397
448,3436123.70990354
449,3462484.19190674
450,4405898.30053303
451,4417449.70835134
452,3009990.72627218
453,3530205.78501173
454,3964660.10501928
455,3757319.37492321
456,2668311.72937319
457,3137884.62965533
458,3480876.76556217
459,2828187.36173066
460,3944552.49200339
461,4029543.32359421
462,3161356.69510053
463,3809398.76228655
464,4281749.12334275
465,4181699.33499937
466,3328040.35619186
467,3357219.57983385
468,4044460.34760093
469,2988704.43400661
470,3462013.24160306
471,2921155.57527901
472,3399407.39539129
473,4299040.13223002
474,3052781.4011849
475,2490113.1115147
476,4288824.10209473
477,4247894.88453816
478,3381631.06430819
479,3797139.10733565
480,4164443.22082918
481,3976015.24850847
482,3259306.62780359
483,3202615.97590227
484,4252472.46983379
485,4182520.62783411
486,3955564.19579928
487,3670132.31441356
488,3806923.34799426
489,3462965.47928954
490,4571898.55600558
491,4933021.01384229
492,3891480.14328387
493,3863337.59452509
494,3031956.87356701
495,3671503.27622845
496,3376472.44872765
497,3988780.01655422
498,4480833.99454621
