City,Population,Income
Karatash,8844,15521
Ceyhan,104542,15521
Pozanti,9883,15521
Adana,1563545,15521
Kozan,74521,15521
Imamoglu,20365,15521
Golbashi,27181,7554
Kahta,5976,7554
Besni,2517,7554
chelikhan,8301,7554
Adiyaman,198433,7554
Emirdag,19164,11199
Sandikli,32886,11199
shuhut,12434,11199
Iscehisar,11825,11199
Bolvadin,30156,11199
Dinar,2461,11199
Ishiklar,7152,11199
chobanlar,8782,11199
Afyonkarahisar,186991,11199
chay,14004,11199
Agri,99276,4118
Diyadin,19188,4118
Patnos,57015,4118
Dogubeyazit,63432,4118
Eleshkirt,8568,4118
Aksaray,171423,5912
Sultanhani,10245,5912
Eskil,1592,5912
Ortakoy,18384,5912
Tashova,11581,10000
Suluova,37297,10000
Merzifon,52334,10000
Amasya,86667,10000
Gumushhacikoy,16899,10000
Ankara,4306105,18009
Polatli,96812,18009
shereflikochhisar,28156,18009
Beypazari,34142,18009
Kizilcahamam,16879,18009
Yenice,7887,18009
Nallihan,12365,18009
chayirhan,8717,18009
Haymana,1038,18009
Finike,11979,15231
Turunchova,8469,15231
Antalya,955573,15231
Kumluca,28449,15231
Demre,15562,15231
Mavikent,8987,15231
Elmali,14846,15231
Avsallar,8999,15231
Alanya,94316,15231
Sahilkent,8657,15231
Serik,46541,15231
Obakoy,14064,15231
Gazipasha,22681,15231
Manavgat,81903,15231
Konakli,12765,15231
Cikcilli,9961,15231
Korkuteli,20563,15231
Sarilar,8468,15231
Mahmutlar,18785,15231
Ilica,13489,15231
cholakli,7537,15231
Side,14264,15231
Kestel,8598,15231
Kemer,22421,15231
Ardahan,164,10583
Gole,7738,10583
Borchka,10529,20320
Hopa,16687,20320
Artvin,24468,20320
Arhavi,14287,20320
Didim,4662,15784
Kushadasi,62637,15784
Kuyucak,7864,15784
Atcha,7274,15784
Aydin,179425,15784
Ovaeymir,7537,15784
Buharkent,7097,15784
Davutlar,10647,15784
Bozdogan,10173,15784
Germencik,12635,15784
Acarlar,989,15784
Umurlu,11283,15784
Koshk,10012,15784
Soke,65792,15784
chine,20343,15784
Nazilli,110437,15784
Incirliova,19507,15784
Savuca,7934,15784
Ortaklar,12851,15784
Altinoluk,15089,14527
Gonen,43045,14527
Bandirma,11274,14527
Ayvalik,35285,14527
Zeytinli,16142,14527
Balikesir,259157,14527
Susurluk,24322,14527
Savashtepe,9436,14527
Bigadich,1581,14527
Dursunbey,17027,14527
Erdek,22845,14527
Akchay,10799,14527
Burhaniye,38134,14527
Sindirgi,1298,14527
Altinova,10839,14527
Edremit,50861,14527
Kuchukkoy,11628,14527
Havran,10895,14527
Bartin,5164,5944
Kozluk,21109,6562
Beshiri,9085,6562
Batman,313355,6562
Sason,12053,6562
Bayburt,32141,14998
Bozuyuk,57548,24758
Osmaneli,13863,24758
Bilecik,46403,24758
Sogut,9749,24758
Gench,17151,4374
Bingol,89224,4374
Solhan,14005,4374
Adilcevaz,10189,3394
Guroymak,19373,3394
Ahlat,16403,3394
Bitlis,46062,3394
Tatvan,60919,3394
Hizan,9311,3394
Goynuk,7136,24689
Gerede,21956,24689
Bolu,120021,24689
Golhisar,13008,12933
Burdur,71611,12933
Bucak,36065,12933
Yenicekoy,11531,17990
Mustafakemalpasha,57162,17990
Yenishehir,29802,17990
Bursa,1854285,17990
Orhangazi,55477,17990
Iznik,22161,17990
Karacabey,51268,17990
Orhaneli,782,17990
Inegol,162452,17990
Ezine,11589,18206
chanakkale,94762,18206
Ayvacik,7675,18206
Lapseki,10842,18206
Biga,39429,18206
Kepez,10213,18206
chan,28498,18206
Gelibolu,23074,18206
Bayramich,13288,18206
chankiri,6658,12465
Ilgaz,7121,12465
cherkesh,8938,12465
Osmancik,25248,14591
Bayat,10316,14591
Iskilip,1972,14591
chorum,210822,14591
Alaca,22156,14591
Sungurlu,34195,14591
Serinhisar,11041,19162
Denizli,492815,19162
Acipayam,12306,19162
Honaz,9135,19162
Saraykoy,1894,19162
Kale,8015,19162
Buldan,14866,19162
Tavas,12418,19162
chivril,1998,19162
chermik,17215,8029
Hani,9264,8029
Lice,11104,8029
Bismil,55421,8029
Dicle,8211,8029
Kulp,9758,8029
Diyarbakir,61431,8029
Ergani,62601,8029
Silvan,38367,8029
chinar,11147,8029
Akchakoca,22628,9900
Duzce,121215,9900
Golyaka,9549,9900
chilimli,7832,9900
Kaynashli,9395,9900
Karaagach,10588,17150
Havsa,8781,17150
Edirne,140374,17150
Uzunkopru,40423,17150
Keshan,54012,17150
Ipsala,8785,17150
Kovancilar,19464,10097
Palu,9244,10097
Elazig,305787,10097
Yazikonak,893,10097
Yurtbashi,817,10097
Karakochan,14071,10097
Erzincan,85323,9922
Erzurum,358344,7255
Oltu,20448,7255
Pasinler,13574,7255
Karachoban,8857,7255
Ashkale,10068,7255
Horasan,17012,7255
Hinis,8804,7255
Eskishehir,617215,20435
chifteler,11733,20435
Sivrihisar,9867,20435
Nurdagi,1799,9843
Gaziantep,1495050,9843
Araban,9497,9843
Nizip,94835,9843
Islahiye,30445,9843
Sakchagoze,7227,9843
Espiye,15841,13309
Bulancak,35989,13309
Eynesil,8462,13309
shebinkarahisar,95,13309
Tirebolu,13304,13309
Keshap,7918,13309
